Наименование,Код ТНВЭД,Цена без НДС,Импорт,Производитель,Дата цены,Требования и техпараметры,Примечание,Перечень БЭСК,Единственный производитель в РБ,Наличие отечественного производителя,Наличие производителя в ГПО,Еденица измерения количества,Не РЗА,Золото,Серебро,Фото
Отвёртка шлиц 5.5мм (SoftFinish electric slimFix SL5.5x125мм WIHA 35391),8203,17,Да,WIHA,31.01.2019,DIN ISO 2380. 1000V,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка шлиц 5.5мм(DIN ISO 2380. 54НRC.1000V),8203,9,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Есть,Нет,шт.,Нет,,,0
Отвертка-ключ торцевой SW7(DIN ISO 3125. 54НRC.1000V),8203,26.6,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Отвертка-ключ торцевойSW8(DIN ISO 3125. 54НRC.1000V),8203,27.5,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Панель монтажная,,96,Нет,"РУП ""БЭМН""",,,,Электроаппараты,Нет,Есть,Есть,,Нет,,,0
Пассатижи 160 мм(DIN ISO 5746. 64НRC. 1000V),8203,37.7,Да,,30.07.2020,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Паяльник(Matrix 913036 60Вт/220В),8203,25,Да,,31.01.2019,Matrix 913036 60Вт/220В,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Паяльник стержневой 40Вт/12В),8203,25,Да,,13.09.2021,автомобильный 12В. 40Вт. керамический нагреватель,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Пена монтажная,8536,9.6,Нет,,16.08.2018,750 мл,,Клея. герметики,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель 4G10 10U,8536,12,Нет,"ОДО ""Белтехпром""",16.08.2018,10 А,0-1 (3 контакта),Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель 4G10 202U,8536,40,Нет,"ОДО ""Белтехпром""",30.07.2020,10 А,Управление (2 галеты),Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель 4G10 203U,8536,12,Нет,"ОДО ""Белтехпром""",16.08.2018,10 А,Управление 3 галеты,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель 4G10 498U,8536,50,Нет,"ОДО ""Белтехпром""",30.07.2020,10 А,1-2 (2 галеты),Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель 4G10 52U,8536,35,Нет,"ОДО ""Белтехпром""",30.07.2020,10 А,1-0-2 (4 контакта),Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель 4G10 66U,8536,50,Нет,"ОДО ""Белтехпром""",30.07.2020,10 А,Для ТН-6-10-35кВ,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель 4G10 688U,8536,50,Нет,"ОДО ""Белтехпром""",30.07.2020,10 А,Контроль ШУ,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель ПВ3-16,8536,5,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ПК-1612 М6016 УХЛ3 16А,8536,85,Да,,31.01.2019,,Для ТН-6-10-35кВ,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ПК16 16С2001,8536,85,Да,,31.01.2019,,На 3 положения,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,Фото
Переключатель ПКУ3 11С3069,8536,40,Да,,30.07.2020,16 А 380 В,4 положения 3 галеты,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель ТО-1-8220/Е,8536,22.55,Да,Eaton,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-15404/Е тип 0-1 4нз на 1 (секц. ТН),8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-8177/Е тип start-1-02-start (АМР),8536,18.85,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-8211/Е тип 1-0-2 на 2но на 1 . 2 ( ШРОТ),8536,18.79,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-8215/Е тип 1>0<2 2но на 1 и 2(КУ),8536,22.55,Да,Eaton,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-8221/Е тип 1-2 на 2 но на 1 и 2 (2xНКР-2),8536,22.18,Да,Eaton,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-8223/Е тип 1-2 на 4но на 1 . 2 (4xНКР-2),8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-8230/Е тип 1-2-3 на 1но на 1 . 2.3 (НКР-3),8536,18.02,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-2-8241/Е тип0-1-2-3 1 нз на 1-2-3 (обог. ),8536,36.66,Да,Eaton,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-3-15394/Е тип 1>0<2 (ШОП),8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-3-15423/Е,8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
"Переключатель ТО-3-8007/Е тип фазное_линейное с ""О"" круг для ТН",8536,31.1,Да,Eaton,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-3-8212/Е тип 1-0-2 на 3но на 1 . 2,8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-3-8212/Е тип 1-0-2 на 3но на 1 . 2,8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-3-8216/Е тип 1>0<2 3но на 1 и 2(КУ),8536,36.66,Да,Eaton,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-3-8222/Е тип 1-2 на 3но на 1 и 2 (3xНКР-2),8536,18.02,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-4-8213/Е тип 1-0-2 на 4но на 1 . 2 (2xШРОТ или ЦС),8536,81.97,Да,Eaton,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-4-8223/Е тип 1-2 на 4но на 1 . 2 ( ЦС),8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель ТО-5-8369/Е тип 1-2 на 5но на 1 . 2,8536,30.55,Да,Eaton,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель фаз PF-431,8536,73,Нет,Евроавтоматика,06.10.2017,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Переключатель Moeller T0-2-8215/E (022236),8536,17.4,Да,Eaton,07.09.2015,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель Moeller T0-3-8212/E (029353),8536,22.36,Да,Eaton,07.09.2015,,6 галет 3 положения,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель Moeller T0-3-8222/E (048339),8536,22.36,Да,Eaton,07.09.2015,,6 галет 2 положения,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель Moeller T0-4-8213/E (031726),8536,22.36,Да,Eaton,07.09.2015,,4 полюса 3 положения,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель Moeller TO-6-8370/E,8536,38.14,Да,Eaton,07.09.2015,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Переключатель T0-8-8372/E. тип 1-2. 20А. 8н.о./на 1 и 2. на дверь. IP65 FS943,8536,85,Да,Eaton,29.01.2020,,,Электроаппараты,Нет,Нет,,шт.,Нет,,,0
Перемычка гребенка РС8-10.50А. 10контактов (для клемм ZS10),8536,2.41,Да,Enterlec,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Перемычка к проходной клемме RК 6-10/35 2-х конт. QI 2 YE,8536,1.5,Да,CONTA-CLIP,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Перемычка JВS-10 для клемм ZS4(ZК2.5)/5.2 10полюсов,8536,2.72,Да,Enterlec,05.10.2017,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Плоскогубцы с удлиненными плоскими губками и режущими кромками(KNIPEX 25 16 200),8203,90,Да,,31.01.2019,Твердость около 61 HRC.изолированная рукоятка-VDE,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Пресс-клещи для контактных гильз самонастраивающийся с боковой уставкой(KNIPEX 97 53 04),8203,462,Да,,31.01.2019,DIN 46 288,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Пресс-клещи для обжима штыревых втулочных наконечников КВТ ПКВш-6,8203,88,Да,,02.09.2021,НШВИ. НШВ: 0.25–6.0 мм²,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Кримпер для опрессовки изолированных наконечников КВТ CTK-01,8203,53,Да,,02.09.2021,Опрессовка изолированных наконечников. гильз и разъемов с красной. синей и желтой манжетами НКИ. НКИ(н). ВНКИ. НВИ. НИК. НШКИ. НШПИ. ГСИ. ГСИ(н). ГСИ-П. ВРПИ-П. ВРПИ-М. ВРШИ-П(н). ВРШИ-М(н). РПИ-П(н). РПИ-М(н) сечением 0.5 -6 мм²,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Нет,Нет,шт.,Нет,,,0
Прибор ВАФ М2,9030893000,487.31,Нет,"РУП ""БЭМН""",04.09.2015,,,Электроприборы,Да,РБ,Есть,шт.,Нет,,,0
Приставка к пускателю ПКИ-04 к контактору малогабаритному КМИ,8535,3.26,Да,,03.09.2015,230 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Приставка контактная ПКЛ 40М 04 Б 10А 4НО+0НЗ к пускателю ПМЛ3100 Теxenergo,8536490000,6,Нет,Теxenergo,13.07.2020,10А 4НО+0НЗ,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Есть,,,Нет,,,0
Приставка ПВИ-11 0.1-30с 1но+1нз с задеркой на срабатывание,8535,28,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Приставка ПВИ-21 0.1-30с 1но+1нз с задеркой на возврат,8535,28,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Нет,шт.,Нет,,,0
Приставка ПКИ-22(2но+2нз) к КМИ,8535,8,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Нет,шт.,Нет,,,0
Провод ПВ1-1.5,8544499108,0.29,Нет,,30.10.2020,1.5 мм.кв.,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Провод ПВ1-16,8544499108,1.9,Нет,,06.10.2017,16 мм.кв.,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Провод ПВ1-2.5,8544499108,0.46,Нет,,30.10.2020,2.5 мм.кв,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Провод ПВ3-1,8544499108,0.3,Нет,,30.10.2020,1 мм.кв.,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Провод ПВ3-1.5,8544499108,0.3,Нет,,30.10.2020,1.5 мм.кв.,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Провод ПВ3-2.5,8544499108,0.47,Нет,,30.10.2020,2.5 мм.кв.,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Провод ПВ3-35,8544499108,7,Нет,,30.07.2020,35 мм.кв.,,2.1 Комплектующие и материалы: кабельно-проводниковая продукция всех типов,Нет,РБ,Нет,м,Нет,,,0
Пускатель ПМЛ 2100 32А 220В,8536490000,95,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Р-110кВ,,14000,Да,,,,,1.1 Электротехническое оборудование: Комплектные трансформаторные подстанции. реакторы всех типов. измерительные трансформаторы (тока. напряжения),Нет,Нет,Нет,шт.,Нет,,,0
Разъём питания 220В АС-101 (KLS1-ASS 202),8536,2.5,Да,KLS. Китай,13.09.2021,Вид разъёма С14(Е). вилка(папа) на кабель,,Электроаппараты,Нет,,Нет,шт.,,,,
Разъём питания 220В AC-022 / L-KLS1-AS-302-1,8536,1,Да,KLS. Китай,13.09.2021,Вид разъёма С13(F). розетка(мама) на корпус,,Электроаппараты,Нет,,Нет,шт.,,,,
Разъём ШР32 Л12НШ1Н,8536,10,Да,,30.07.2020,,Разъём вторичных цепей для ячейки КС-2У,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Разъем ШРГ 32 Л12 2ЭШ1( ответная часть к ШР 32 Л12 2НШ1Н),8536,20,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Разъем штепсельный РШ/ВШ 380В.32А,8536,5,Да,,30.07.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Разъём JZ-58 VCB control socket DC 10 A,8536,60,Да,LIYOND Electric Co.,12.01.2016,DC 10 A,Разъём тележки ПС КСМ,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Расцепитель независимый РН47 к автоматическому выключателю ВА47-29,8536,09.06,Да,Группа компаний IEK,07.09.2015,220 В,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Расцепитель шунтирующий Moeller +AVHI-NZM 7 (220-240 В) Код: 026470,8536,30,Да,Eaton,,,,Автоматические выключатели,Нет,Нет,Нет,шт.,Нет,,,0
Ревун РВФ DC220В,8536,125,Да,,24.03.2020,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
Рейка CL2008 для зажима экрана кабеля,8536,8,да,OBO,04.12.2020,Рейка CL2008BP2000FS профильная. С-образная. перфорированная. 8Х20Х2000мм (ВхШхД). шлиц 11мм. конв. оцинк. Арт. 1106120,,Электроаппараты,нет,нет,нет,шт.,нет,,,0
Регистратор ДУГА-О,8536,73,Да,,14.01.2015,,,Электроаппараты,Нет,РБ,Есть,шт.,Нет,,,0
Регулятор напряжения РКТ.02,853630,,,НПЦ МИРОН,,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Да,РБ,Есть,шт.,Нет,,,0
Регулятор температуры CRT-02 (2канала ) -50 +150,8536,116,Нет,Евроавтоматика,06.10.2017,,,Электроаппараты,Нет,РБ,Нет,шт.,Нет,,,0
Резистор 2 Вт 30кОм,8533100000,1,Да,,14.01.2015,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор 20кОм 1Вт,8533100000,1,Нет,,28.10.2019,,,Радиодетали,,,,шт.,Нет,,,0
Резистор 50 Вт 30кОм,8533100000,5,Да,,14.01.2015,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор переменный СП-4-1Б 220 кОм,8533100000,1.2,Да,,16.08.2018,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор ПЭВ 100 620 Ом,8533100000,10,Да,,30.07.2020,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор ПЭВ 50 3.3кОм,8533100000,6,Да,,16.08.2018,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор ПЭВ 50 4.3кОм,8533100000,6,Да,,16.08.2018,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор ПЭВ-25 1кОм 25Вт,8533100000,6,Да,,16.08.2018,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор ПЭВ-25 3.9кОм 25Вт,8533100000,5,Да,,30.07.2020,,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор ПЭВ-50 1кОм,8533100000,4.66,Да,"ПО ""Эркон""",16.08.2018,1кОм. 50 Вт,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Резистор ПЭВ-50 3.9кОм,8533100000,4.66,Да,"ПО ""Эркон""",16.08.2018,3.9кОм. 50Вт,,Радиодетали,Нет,Нет,Нет,шт.,Нет,,,0
Реле ВЛ-162 DC220В 0.1-10 сек,8536490000,220,Нет,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле времени РСВ-16-1 0.1…99.9С 220В,8536490000,100,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле времени программируемое PCR-515 (Евроавтоматика) или аналог,8536490000,75,Нет,,15.06.2021,Напряжение питания (1-3) 230В 50Гц (3-4) 24В АС/DC. макс коммутируемый ток 2х8А АС. выдержка времени 0.1с-24суток. 2Р 2переключающих контакта,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Нет,шт.,Нет,,,0
Реле времени Eaton ETR4-70-A,8536490000,200,Да,Eaton,22.01.2020,,,,,,,,Нет,,,0
Реле времени РВО-П2-У,8536490000,10,Да,,,,,,,,,,Нет,,,0
Реле ДЗТ-11 з.п. (ЧЭАЗ г.Чебоксары),8536490000,350,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле контроля 3х фаз 380 CKF-BT (Евроавтоматика) или аналог,8536490000,32.47,Нет,,22.09.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Нет,шт.,Нет,,,0
Реле контроля изоляции в сети постоянного тока EMR4-RDC-1-A,8536490000,300,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле контроля напряжения CР-720 (Евроавтоматика) или аналог,8536490000,70,Нет,,15.06.2021,Напряжение питания 50-450В 50Гц. макс коммутируемый ток 16А АС. порог напряжений нижний 150-210В верхний 230-260В. 1Р 1 переключающий контакт,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Нет,шт.,Нет,,,0
Реле контроля изоляции ЕМР4-RDC-1-А,8536490000,300,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
"Реле контроля изоляции переменного напряжения EMR4-RAC-1-A
221793",8536490000,300,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле контроля трехфазного напряжения РСН-25М,8536490000,84,Нет,ООО «ВНИИР-Промэлектро»,21.10.2020,380  В. 50  Гц. время 0.1-10с. винт. УХЛ3.1,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Нет,шт.,Нет,,,0
Реле МР-851 (РУП БЭМН),853630,2718,Нет,"РУП ""БЭМН""",04.09.2019,5 А. 220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Да,РБ,Есть,шт.,Нет,,,0
Реле МР100 (РУП БЭМН),853630,278.04,Нет,"РУП ""БЭМН""",11.01.2017,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Реле МР301 (аналог МР500) (РУП БЭМН),853630,1226.3,Нет,"РУП ""БЭМН""",04.09.2019,5А. 220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Реле МР5 ПО70 (РУП БЭМН),853630,2253.7,Нет,"РУП ""БЭМН""",04.09.2019,5А. 220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Да,РБ,Есть,шт.,Нет,,,0
Реле МР5 ПО75 (РУП БЭМН),853630,2000,Нет,"РУП ""БЭМН""",30.07.2020,5А. 24 В питание,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Реле МР5 ПО50 (РУП БЭМН),853630,1791.4,Нет,"РУП ""БЭМН""",04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Реле МР5 ПО60 (РУП БЭМН),853630,1729.7,Нет,"РУП ""БЭМН""",04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Да,РБ,Есть,шт.,Нет,,,0
Реле МР5 ПО70 (РУП БЭМН),853630,2253.7,Нет,"РУП ""БЭМН""",04.09.2019,5А. 220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Да,РБ,Есть,шт.,Нет,,,0
Реле МР741 (РУП БЭМН),853630,2520.6,Нет,"РУП ""БЭМН""",04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Реле МР801 (РУП БЭМН),853630,4559.1,Нет,"РУП ""БЭМН""",04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Да,РБ,Есть,шт.,Нет,,,0
Реле напряжения ЕЛ-11.3Х380В,8536490000,50,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ-03 (260070511),8536490000,75.33,Да,,19.05.2015,100 В Т=0.5-10с,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ-03 (260070611),8536490000,75.33,Да,,19.05.2015,100 В Т=1-20с,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ112 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ112 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ128 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ132 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,220 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ218 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ235 (26235 021) 100В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ235 220В з.п. (ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ238 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,ЧЭАЗ,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ245 100В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,ЧЭАЗ,19.05.2015,100 В 50Гц. 1-20сек,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ245 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,ЧЭАЗ,19.05.2015,100 В 50Гц. 1-20сек,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РВ248 220В з.п.(ЧЭАЗ г.Чебоксары),8536490000,75.33,Да,,19.05.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РЗТ-110 (РУП БЭМН),8536490000,4552,Нет,"РУП ""БЭМН""",04.09.2019,5А,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Да,РБ,Есть,шт.,Нет,,,0
Реле РКН (ОАО БЭРН),8536490000,7,Нет,"ОАО ""БЭРН""",,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Реле РКП (ОАО БЭРН),8536490000,7,Нет,"ОАО ""БЭРН""",,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,РБ,Есть,шт.,Нет,,,0
Реле РН-51 з.п.(ЧЭАЗ г.Чебоксары),8536490000,240,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РН-51/М78 з.п.(ЧЭАЗ г.Чебоксары),8536490000,225,Да,ЧЭАЗ,04.09.2019,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РН-53/200 з.п. (ЧЭАЗ г.Чебоксары),8536490000,80,Да,,30.07.2020,200 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РН-53/60Д з.п. (ЧЭАЗ г.Чебоксары),8536490000,33.76,Да,,22.09.2015,200 В,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РН-54/160 з.п. (ЧЭАЗ г.Чебоксары),8536490000,80,Да,,30.07.2020,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РН-54/320 з.п. (ЧЭАЗ г.Чебоксары),8536490000,33.76,Да,,22.09.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РНС з.п.(ЧЭАЗ г.Чебоксары),8536490000,93,Да,,14.01.2015,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Реле РНТ-565 з.п.(ЧЭАЗ г.Чебоксары),8536490000,281.1,Да,,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
